지표,심볼,현재가,전일비%,52주위치%,52주고가,52주저가
VIX 공포지수,^VIX,16.59000015258789,0.85,14.6,35.29999923706055,13.380000114440918
S&P500,^GSPC,7483.22998046875,-0.22,90.4,7620.89990234375,6188.2900390625
NASDAQ,^IXIC,26040.03125,-0.66,83.6,27190.2109375,20181.740234375
Dow Jones,^DJI,52305.23828125,-0.03,96.2,52655.66015625,43340.6796875
KOSPI,^KS11,8035.77001953125,-3.22,78.8,9385.58984375,3032.989990234375
KOSDAQ,^KQ11,893.3900146484375,-3.87,27.4,1229.4200439453125,766.5700073242188
USD/KRW,KRW=X,1554.1800537109375,0.36,98.0,1558.8800048828125,1322.4200439453125
DXY 달러인덱스,DX-Y.NYB,101.34100341796875,0.15,92.7,101.80000305175781,95.55000305175781
Gold 금,GC=F,4065.300048828125,1.05,34.5,5586.2001953125,3263.89990234375
WTI 원유,CL=F,67.69000244140625,-2.6,19.7,119.4800033569336,54.97999954223633
Bitcoin,BTC-USD,60070.01171875,,2.9,126198.0703125,58075.921875
