섹터,심볼,현재가,전일비%,1개월수익%,52주위치%
기술,XLK,190.00999450683594,-0.4,4.6,87.9
금융,XLF,58.15999984741211,-0.17,2.8,97.7
에너지,XLE,61.90999984741211,1.39,9.6,92.7
헬스케어,XLV,167.3699951171875,-0.6,5.7,93.5
산업,XLI,186.50999450683594,0.39,3.6,95.9
소비재,XLY,118.19999694824219,-0.21,1.0,65.6
필수소비,XLP,86.08999633789062,0.1,3.1,73.0
유틸리티,XLU,44.310001373291016,0.61,-2.0,47.5
소재,XLB,52.540000915527344,0.44,4.0,86.8
부동산,XLRE,45.27000045776367,0.33,1.6,82.4
통신,XLC,112.94999694824219,0.36,-0.4,51.5
NASDAQ100,QQQ,731.0700073242188,-0.14,1.9,90.9
Russell2000,IWM,305.0899963378906,0.52,3.2,99.9
신흥국,EEM,66.61000061035156,-0.1,1.6,77.7
한국ETF,EWY,179.74000549316406,0.63,4.7,72.6
